probe;nuc;act;frac;Passage;null;Area;X;Y;XM;YM;Perim;Major;Minor;Angle;Circ;AR;Round;Solidity;Age
p09;0,231;0,1893;1,909;9;1;3971,604;158,509;56,556;159,445;60,342;384,172;101,38;49,88;145,007;0,338;2,032;0,492;0,643;Young
p09;0,3024;0,1865;1,8848;9;1;3482,448;57,902;115,692;64,983;115,399;415,87;99,957;44,359;177,352;0,253;2,253;0,444;0,525;Young
p09;0,293;0,1193;1,8288;9;1;1858,698;73,473;183,548;70,105;180,231;209,838;74,64;31,706;113,326;0,53;2,354;0,425;0,768;Young
p09;0,3204;0,2814;1,5615;9;1;3269,249;159,813;63,364;147,539;59,093;355,28;122,409;34,005;159,866;0,325;3,6;0,278;0,694;Young
p09;0,3306;0,3196;1,669;9;1;3170,863;74,511;123,004;75,231;125,406;251,038;101,766;39,672;174,929;0,632;2,565;0,39;0,925;Young
p09;0,2447;0,3993;1,8092;9;1;3766,386;121,482;123,172;121,864;120,163;427,853;181,987;26,351;77,759;0,259;6,906;0,145;0,779;Young
p09;0,2442;0,1038;1,88;9;1;3808,031;47,138;123,868;46,45;117,537;393,324;103,622;46,79;89,811;0,309;2,215;0,452;0,521;Young
p09;0,2579;0,243;1,8731;9;1;2616,174;163,737;50,933;165,588;52,262;276,328;95,177;34,998;138,619;0,431;2,719;0,368;0,76;Young
p09;0,3183;0,0569;1,8691;9;1;2431,201;176,016;135,955;176,573;137,535;324,058;84,034;36,836;108,654;0,291;2,281;0,438;0,533;Young
p09;0,3028;0,0707;1,8035;9;1;2432,242;94,234;30,586;90,881;29,239;244,486;94,376;32,814;146,222;0,511;2,876;0,348;0,885;Young
p09;0,4225;0,0964;1,8597;9;1;3004,803;165,766;70,322;162,536;68,211;276,394;105,364;36,311;160,052;0,494;2,902;0,345;0,867;Young
p09;0,4185;-0,0187;1,8842;9;1;2220,2;172,551;147,191;173,875;146,614;201,228;82,571;34,235;56,909;0,689;2,412;0,415;0,987;Young
p09;0,3009;0,272;1,8181;9;1;5620,63;193,692;103,432;195,711;103,941;365,318;119,655;59,809;162,021;0,529;2,001;0,5;0,844;Young
p09;0,2703;0,0992;1,7062;9;1;5862,287;141,15;61,003;140,342;59,98;302,49;120,997;61,688;106,085;0,805;1,961;0,51;0,983;Young
p09;0,2457;0,2348;1,7557;9;1;6424,09;88,41;123,06;86,192;120,575;356,175;129,475;63,174;133,825;0,636;2,05;0,488;0,94;Young
p09;0,2382;0,0177;1,9115;9;1;3971,025;146,088;86,717;147,513;87,777;301,363;132,078;38,281;97,711;0,549;3,45;0,29;0,919;Young
p09;0,1773;0,3017;1,7044;9;1;7359,83;64,943;84,213;61,929;89,606;473,014;212,126;44,176;62,668;0,413;4,802;0,208;0,801;Young
p09;0,1727;0,0427;1,6196;9;1;3609,234;151,811;146,216;155,662;143,531;309,676;104,661;43,908;47,01;0,473;2,384;0,42;0,818;Young
p09;0,1323;0,1725;1,6613;9;1;2943,261;208,749;145,428;210,193;145,248;207,159;71,249;52,597;17,307;0,862;1,355;0,738;0,961;Young
p09;0,403;0,1423;1,8702;9;1;6042,228;187,932;173,194;168,35;183,48;456,616;151,815;50,675;30,962;0,364;2,996;0,334;0,827;Young
