probe;nuc;act;frac;Passage;Area;X;Y;XM;YM;Perim;Major;Minor;Angle;Circ;AR;Round;Solidity;Age
p09;0,2993;0,4034;1,5767;9;2288,278;79,888;204,298;81,603;197,968;271,518;99,542;29,269;68,424;0,39;3,401;0,294;0,733;Young
p09;0,3881;0,4008;1,6807;9;5514,898;189,503;153,105;185,162;152,851;436,208;125,351;56,017;14,531;0,364;2,238;0,447;0,688;Young
p09;0,3467;0,3701;1,7526;9;4743,482;127,874;96,976;129,475;94,522;437,009;142,152;42,487;48,767;0,312;3,346;0,299;0,754;Young
p09;0,3695;-0,0705;1,7724;9;2258,201;197,484;60,299;197,182;60,628;235,429;87,064;33,024;34,835;0,512;2,636;0,379;0,788;Young
p09;0,3361;0,1773;1,7362;9;1812,888;192,677;25,489;193,099;25,833;211,592;88,852;25,979;171,568;0,509;3,42;0,292;0,871;Young
p09;0,3735;0,3675;1,7535;9;4089,366;76,782;150,113;73,579;148,271;335,462;100,817;51,646;134,143;0,457;1,952;0,512;0,793;Young
p09;0,3509;0,3556;1,8082;9;4004,052;135,266;81,059;130,057;67,316;455,099;166,632;30,595;117,644;0,243;5,446;0,184;0,641;Young
p09;0,4243;0,1823;1,7955;9;3314,191;163,358;37,377;159,79;35,34;254,637;101,285;41,662;125,007;0,642;2,431;0,411;0,961;Young
p09;0,4369;0,3206;1,7673;9;2888,66;173,501;180,96;167,891;181,804;323,216;131,52;27,965;179,026;0,347;4,703;0,213;0,788;Young
p09;0,4736;0,3141;1,7277;9;2207,243;174,081;130,836;168,352;127,675;257,503;100,885;27,857;160,693;0,418;3,622;0,276;0,877;Young
p09;0,3587;0,3447;1,7613;9;6416,571;77,919;100,219;74,894;100,666;391,721;158,135;51,664;7,948;0,525;3,061;0,327;0,882;Young
p09;0,2808;0,3671;1,7752;9;3941,122;24,263;70,37;26,205;69,573;328,313;135,231;37,107;83,785;0,459;3,644;0,274;0,816;Young
p09;0,5102;0,5729;1,5666;9;1926,66;176,595;198,475;165,835;193,287;258,413;125,089;19,611;147,171;0,363;6,379;0,157;0,913;Young
p09;0,4357;0,4417;1,7626;9;2336,285;83,07;141,267;79,44;139,504;276,123;129,225;23,019;148,365;0,385;5,614;0,178;0,745;Young
p09;0,3962;0,455;1,7802;9;3501,478;165,356;46,556;163,841;35,99;370,171;116,69;38,206;112,251;0,321;3,054;0,327;0,657;Young
p09;0,3748;0,3905;1,7307;9;3767,485;101,087;86,745;104,547;94,706;411,634;153,307;31,29;118,633;0,279;4,9;0,204;0,621;Young
p09;0,3999;0,4647;1,7674;9;4392,045;98,44;169,592;104,739;168,243;507,338;119,884;46,646;150,993;0,214;2,57;0,389;0,472;Young
p09;0,4879;0,4087;1,6018;9;2870,151;195,497;193,279;195,867;198,705;411,543;88,821;41,143;121,691;0,213;2,159;0,463;0,657;Young
p09;0,4453;0,4275;1,5647;9;2745,621;187,87;36,665;190,95;39,132;274,475;102,984;33,945;156,25;0,458;3,034;0,33;0,811;Young
p09;0,3946;0,2482;1,8452;9;5370,876;71,43;50,703;65,964;47,686;365,252;166,285;41,125;148,185;0,506;4,043;0,247;0,919;Young
p26;0,1191;0,424;1,7481;26;6489,924;108,688;120,084;106,515;120,425;386,343;144,246;57,286;4,739;0,546;2,518;0,397;0,888;Old
p26;0,2323;0,2612;1,7784;26;6405,741;94,69;60,298;94,462;63,065;352,364;125,722;64,873;83,116;0,648;1,938;0,516;0,908;Old
p26;0,0663;0,3736;1,6937;26;5892,191;138,111;88,887;138,432;88,82;378,243;140,405;53,432;83,782;0,518;2,628;0,381;0,908;Old
