probe;nuc;act;frac;Passage;Area;X;Y;XM;YM;Perim;Major;Minor;Angle;Circ;AR;Round;Solidity;Age
p08;0,2925;0,3299;1,5358;8;7967,731;114,59;90,271;124,475;91,883;465,017;143,511;70,69;2,482;0,463;2,03;0,493;0,813;Young
p08;0,3868;0,3523;1,8714;8;8481,122;116,248;154,603;136,338;146,084;550,956;229,957;46,959;21,69;0,351;4,897;0,204;0,837;Young
p08;0,3334;0,2085;1,8651;8;2017,759;192,877;148,558;195,919;145,274;219,008;69,215;37,118;36,865;0,529;1,865;0,536;0,794;Young
p08;0,3827;0,4015;1,7663;8;2433,11;57,284;197,178;58,402;198,295;292,737;116,061;26,692;127,958;0,357;4,348;0,23;0,849;Young
p08;0,3183;0,3903;1,4238;8;2734,978;59,691;80,231;58,173;76,988;372,058;151,052;23,054;98,147;0,248;6,552;0,153;0,794;Young
p08;0,4394;0,4935;1,7746;8;1082,134;107,619;38,968;104,83;38,183;194,792;81,63;16,879;127,754;0,358;4,836;0,207;0,907;Young
p08;0,4551;0,3005;1,6912;8;1110,418;157,596;95,181;153,676;92,048;246,11;111,751;12,652;133,594;0,23;8,833;0,113;0,82;Young
p08;0,3695;0,2787;1,8053;8;3092,836;189,531;138,434;189,237;138,153;325,372;135,806;28,997;141,401;0,367;4,683;0,214;0,915;Young
p08;0,4033;0,3884;1,7589;8;1573,834;209,287;41,247;209,949;42,719;241,997;112,579;17,8;131,037;0,338;6,325;0,158;0,876;Young
p08;0,4001;0,4336;1,91;8;8927,88;70,525;183,687;86,142;192,585;447,823;189,419;60,012;136,631;0,559;3,156;0,317;0,912;Young
p08;0,4687;0,2908;1,74;8;1118,169;143,075;144,532;149,621;139,972;223,69;98,276;14,487;35,432;0,281;6,784;0,147;0,849;Young
p08;0,4601;0,4477;1,5945;8;862,11;183,755;101,716;177,031;109,419;166,081;75,218;14,593;43,419;0,393;5,154;0,194;0,928;Young
p08;0,3238;0,314;1,6541;8;3793,051;215,538;108,019;220,249;102,344;293,663;106,594;45,307;70,399;0,553;2,353;0,425;0,868;Young
p08;0,439;0,29;1,7792;8;1974,494;125,345;43,578;125,215;42,194;281,23;90,257;27,854;126,602;0,314;3,24;0,309;0,615;Young
p08;0,3951;0,3653;1,764;8;1873,158;43,078;94,625;45,771;98,996;267,885;113,166;21,075;125,658;0,328;5,37;0,186;0,909;Young
p08;0,3953;0,3684;1,6571;8;2975,709;138,498;154,906;138,46;157,178;422,407;130,61;29,008;92,205;0,21;4,502;0,222;0,52;Young
p08;0,4242;0,2511;1,8298;8;1676,154;78,39;94,316;85,312;87,476;229,689;101,728;20,979;45,974;0,399;4,849;0,206;0,867;Young
p08;0,3402;0,119;1,815;8;2056,916;56,776;51,078;53,855;52,58;252,604;78,476;33,373;154,513;0,405;2,352;0,425;0,718;Young
p08;0,3287;0,1101;1,8173;8;1750,247;175,661;19,829;174,743;18,634;192,839;73,349;30,382;28,634;0,591;2,414;0,414;0,9;Young
p08;0,3188;0,1045;1,8364;8;2308,175;197,502;42,669;200,228;41,419;239,865;97,708;30,078;25,477;0,504;3,249;0,308;0,853;Young
p20;0,2521;0,4431;1,7316;20;5500,554;88,05;89,958;88,261;102,926;533,2;152,048;46,061;102,376;0,243;3,301;0,303;0,492;Old
p20;0,2315;0,4671;1,7846;20;4936,38;153,98;113,462;153,984;117,033;445,834;187,505;33,52;58,965;0,312;5,594;0,179;0,843;Old
p20;0,2569;0,4727;1,813;20;2633,006;212,141;112,136;201,92;116,423;215,913;79,534;42,151;7,224;0,71;1,887;0,53;0,959;Old
p20;0,1789;0,52;1,7574;20;4525,135;132,186;66,539;136,412;60,193;397,926;159,481;36,127;56,139;0,359;4,414;0,227;0,717;Old
p20;0,2378;0,3092;1,7689;20;5131,995;79,856;144,255;82,921;143,297;421,794;113,651;57,494;160,288;0,362;1,977;0,506;0,672;Old
p20;0,2867;0,5019;1,8302;20;5219,566;82,478;215,073;87,85;218,478;411,761;98,557;67,43;8,508;0,387;1,462;0,684;0,69;Old
p20;0,1724;0,5812;1,7357;20;1927,296;138,098;45,782;135,738;42,225;232,114;105,748;23,205;122,196;0,45;4,557;0,219;0,893;Old
p20;0,2393;0,4211;1,7516;20;2994,508;146,334;211,046;145,186;212,166;281,176;82,394;46,274;151,609;0,476;1,781;0,562;0,79;Old
p20;0,0047;0,283;1,6703;20;1784,431;97,143;207,157;94,085;204,756;261,578;103,269;22,001;119,367;0,328;4,694;0,213;0,755;Old
p20;0,1995;0,5236;1,7783;20;4220,837;45,459;122,485;44,844;135,964;313,09;101,468;52,964;112,324;0,541;1,916;0,522;0,796;Old
p20;0,2088;0,2312;1,7773;20;4019,206;86,349;172,348;76,021;171,158;419,501;166,656;30,707;166,233;0,287;5,427;0,184;0,706;Old
p20;0,1887;0,5246;1,0759;20;2340,16;162,773;162,849;159,674;161,866;280,982;94,95;31,381;169,956;0,372;3,026;0,33;0,824;Old
p20;0,2076;0,4812;1,7757;20;5362,258;164,492;98,173;161,56;97,401;490,389;144,269;47,324;154,333;0,28;3,049;0,328;0,579;Old
p20;0,1969;0,3728;1,7712;20;5773,676;62,627;52,212;74,26;43,001;341,671;143,013;51,403;47,125;0,622;2,782;0,359;0,927;Old
p20;0,1698;0,355;1,7913;20;4214,938;53,437;82,363;44,336;91,558;415,839;178,174;30,12;50,14;0,306;5,915;0,169;0,816;Old
p20;0,0873;0,1047;1,7913;20;2018,915;41,302;61,073;35,578;64,104;261,722;104,233;24,662;43,614;0,37;4,226;0,237;0,781;Old
p20;0,2159;0,2775;1,7454;20;9555,1;101,201;169,231;95,207;162,16;747,515;141,46;86,003;117,911;0,215;1,645;0,608;0,521;Old
p20;0,2055;0,4056;1,7454;20;2600,962;133,061;44,726;134,967;47,108;295,422;94,443;35,065;149,404;0,375;2,693;0,371;0,74;Old
p20;0,0422;0,3774;1,7454;20;1321,13;188,683;73,197;184,299;73,326;210,073;88,109;19,091;4,463;0,376;4,615;0,217;0,84;Old
p20;0,1976;0,5078;1,7859;20;4792,762;63,716;162,564;52,683;157,951;413,238;110,91;55,02;160,57;0,353;2,016;0,496;0,65;Old
p18;0,4943;0,2317;1,7718;18;3035,921;54,517;182,765;53,374;182,533;342,085;113,013;34,204;70,755;0,326;3,304;0,303;0,77;Old
p18;0,3517;0,1387;1,7718;18;5099,489;126,701;187,543;126,066;187,515;357,246;117,375;55,317;74,159;0,502;2,122;0,471;0,802;Old
